datetime,portfolio_value,cash,return
2023-12-01 00:00:00-05:00,100000.0,100000.0,
2023-12-02 00:00:00-05:00,100000.0,100000.0,0.0
2023-12-03 00:00:00-05:00,100000.0,100000.0,0.0
2023-12-04 00:00:00-05:00,100000.0,100000.0,0.0
2023-12-05 00:00:00-05:00,100000.0,100000.0,0.0
2023-12-06 00:00:00-05:00,100000.0,100000.0,0.0
2023-12-07 00:00:00-05:00,100000.0,100000.0,0.0
2023-12-08 00:00:00-05:00,100000.0,100000.0,0.0
2023-12-09 00:00:00-05:00,100000.0,100000.0,0.0
2023-12-10 00:00:00-05:00,100000.0,100000.0,0.0
2023-12-11 00:00:00-05:00,100000.0,100000.0,0.0
2023-12-12 00:00:00-05:00,100000.0,100000.0,0.0
2023-12-13 00:00:00-05:00,100000.0,100000.0,0.0
2023-12-14 00:00:00-05:00,100000.0,100000.0,0.0
2023-12-15 00:00:00-05:00,100000.0,100000.0,0.0
2023-12-16 00:00:00-05:00,100000.0,100000.0,0.0
2023-12-17 00:00:00-05:00,100000.0,100000.0,0.0
2023-12-18 00:00:00-05:00,100000.0,100000.0,0.0
2023-12-19 00:00:00-05:00,100000.0,100000.0,0.0
